City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
461,Senador Guiomard,BR,-10.1522,-67.7392,74.95,96,78,3.6,Clouds
462,Kudahuvadhoo,MV,2.6708,72.8944,81.54,71,15,9.1,Clouds
463,Florence,IT,43.7667,11.25,52.54,92,75,2.3,Clouds
464,Lugovoy,KZ,42.9472,72.7644,37.69,50,1,8.86,Clear
465,Chotepe,HN,15.4167,-87.9833,75.11,83,20,5.75,Clouds
466,Bartica,GY,6.4,-58.6167,75.52,98,29,2.28,Clouds
467,Port Hardy,CA,50.6996,-127.4199,46.76,93,75,8.05,Clouds
468,Tambun,ID,-6.2641,107.0712,91.49,70,40,9.22,Haze
469,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,6.66,91,100,6.29,Snow
470,Nishihara,JP,26.1842,127.7558,63.68,77,75,21.85,Clouds
471,Alaca,TR,40.1683,34.8425,33.04,99,100,5.82,Snow
472,Toamasina,MG,-18.1667,49.3833,82.4,69,40,17.27,Clouds
473,Tomatlan,MX,19.9333,-105.25,62.8,81,56,2.93,Clouds
474,Oistins,BB,13.0667,-59.5333,75.29,73,40,11.5,Clouds
